http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/qegal/EE,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/qegal/EJ2,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/GeneratorModel,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/qegal/EJJ,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,http://org.softlang.com/qegal/EJc2,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,http://org.softlang.com/refersTo,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count
7.0,2.0,2015-02-16T09:36:36Z,7.0,,142.0,Java,svn2github/cpntools-accesscpn,0.0,2.0,7.0,,0.0,,0.0,,done,505.0,,93.0,0.0,2,7.0,7.0,7.0,4fb6c0303e729ce738b73f092a3c008dbc3f95e0,,,18.0,,113436.0,753.0,7.0,master,,1.0,2015-02-16T09:19:08Z,647.0,2014-08-07T17:52:10Z,2.0,93.0,,2016-07-28T08:57:02Z,,93.0,9.0,True,60.0,100.0,1.0,34.0,385.0,579.0,860,2.0,7.0,0.0
1.0,2.0,2018-02-05T15:00:59Z,5.0,,98.0,Java,kametarou/Software-Engineering,0.0,1.0,1.0,4.0,0.0,,0.0,4.0,done,318.0,22.0,28.0,0.0,1,5.0,1.0,1.0,16a81ed42dc61dcb3b045afd437562c3ee1ec58a,,23.0,20.0,4.0,3092.0,449.0,1.0,master,3.0,1.0,2018-02-05T15:00:10Z,416.0,2017-10-17T09:20:11Z,1.0,50.0,1.0,2017-12-14T10:16:14Z,4.0,28.0,4.0,True,16.0,41.0,1.0,16.0,143.0,233.0,969,2.0,5.0,0.0
1.0,2.0,2010-09-23T16:45:21Z,1.0,,107.0,0,sreiterer/mylyn-reviews-scm-integration,0.0,1.0,,1.0,0.0,,0.0,1.0,done,313.0,4.0,8.0,0.0,1,1.0,1.0,1.0,437426f1c964be81ab59149740d5b3f21bec2855,,5.0,0.0,1.0,248.0,429.0,1.0,master,1.0,1.0,2010-09-23T16:42:50Z,420.0,2010-09-23T07:34:56Z,1.0,12.0,1.0,2014-02-25T03:08:01Z,1.0,8.0,3.0,True,20.0,11.0,1.0,29.0,85.0,129.0,703,2.0,1.0,1.0
2.0,2.0,2009-07-15T07:43:45Z,2.0,,114.0,Java,miquelrojascherto/bioclipse.qsar,0.0,2.0,,2.0,0.0,,0.0,2.0,done,506.0,38.0,43.0,0.0,2,2.0,2.0,2.0,18058e94fd01f6cf46713ebce18114b1bc7b6a64,,40.0,71.0,2.0,11501.0,666.0,2.0,master,2.0,1.0,2009-07-15T07:43:52Z,620.0,2009-07-18T18:06:29Z,2.0,81.0,2.0,2013-12-07T04:00:32Z,2.0,43.0,9.0,True,41.0,49.0,1.0,88.0,226.0,378.0,969,2.0,2.0,4.0
1.0,2.0,2016-02-11T15:38:48Z,1.0,,53.0,Java,NZR/SPLR-FEVER-Tool,0.0,1.0,,1.0,0.0,,0.0,1.0,done,219.0,20.0,18.0,0.0,1,1.0,1.0,1.0,718f978d077621e0d917088fd770bff17d8011f7,,19.0,15.0,1.0,23043.0,291.0,1.0,master,,1.0,2016-02-11T15:38:20Z,272.0,2016-02-11T15:34:54Z,1.0,38.0,1.0,2017-11-30T17:31:25Z,1.0,18.0,1.0,True,15.0,21.0,1.0,2.0,104.0,165.0,1109,2.0,1.0,2.0
1.0,2.0,2014-03-25T10:58:58Z,1.0,,56.0,Java,mbarbero/econ-na-2014-emf-edit,0.0,1.0,,1.0,0.0,,0.0,1.0,done,107.0,15.0,15.0,0.0,1,1.0,1.0,1.0,c0efffeb3926b4c3ccda6e2b83ab124b53121438,,16.0,6.0,1.0,11448.0,179.0,1.0,master,,1.0,2014-03-25T10:58:57Z,163.0,2014-03-25T08:33:09Z,1.0,30.0,1.0,2016-01-31T15:59:04Z,1.0,15.0,4.0,True,12.0,18.0,1.0,16.0,55.0,111.0,672,2.0,1.0,0.0
2.0,2.0,2011-06-06T21:34:02Z,5.0,,62.0,Java,abelhegedus/Magic-Collection-Builder,0.0,1.0,1.0,4.0,0.0,,0.0,4.0,done,200.0,24.0,24.0,0.0,1,5.0,2.0,2.0,f650504fe20c3a150c06ddc61e61065b4dffc3e5,,28.0,4.0,4.0,1580.0,292.0,2.0,master,,1.0,2011-06-06T21:33:24Z,262.0,2011-04-07T20:17:56Z,1.0,48.0,1.0,2014-12-30T13:09:41Z,4.0,24.0,3.0,True,14.0,37.0,1.0,21.0,87.0,173.0,719,2.0,5.0,1.0
1.0,2.0,2014-05-27T08:34:29Z,1.0,,116.0,Java,FAMILIAR-project/Tools4PCM,0.0,1.0,,1.0,0.0,,0.0,1.0,done,4414.0,30.0,30.0,0.0,1,1.0,1.0,1.0,010759e5063a1d5ad4809cb67cce477f1c306b7c,,31.0,7.0,1.0,141277.0,4561.0,1.0,master,,1.0,2014-05-16T12:43:00Z,4530.0,2014-05-27T08:32:46Z,1.0,60.0,1.0,2016-06-13T23:41:48Z,1.0,30.0,4.0,True,564.0,33.0,1.0,9.0,102.0,740.0,7455,2.0,1.0,0.0
1.0,2.0,2012-12-15T16:02:50Z,1.0,,43.0,Java,skratchdot/riff-wav-for-java,0.0,1.0,,1.0,0.0,,0.0,1.0,done,213.0,30.0,41.0,0.0,1,1.0,1.0,1.0,c94f2e8f7877a2935343d67ff683cee4a4015fc3,,31.0,16.0,1.0,436.0,298.0,1.0,master,1.0,1.0,2012-12-15T16:02:50Z,256.0,2010-12-19T20:12:41Z,1.0,71.0,1.0,2013-12-13T04:53:40Z,1.0,41.0,4.0,True,14.0,44.0,1.0,14.0,125.0,224.0,672,2.0,1.0,1.0
6.0,2.0,2014-03-13T20:07:59Z,6.0,,677.0,Java,multi-perspectives/cluster,0.0,6.0,,7.0,0.0,,0.0,7.0,done,1843.0,37.0,28.0,0.0,6,6.0,6.0,6.0,8c3f2ccfc784fb0e0cce7411f75e18e25735e9f8,1.0,44.0,33.0,7.0,22971.0,2559.0,6.0,master,,1.0,2014-03-13T20:07:59Z,2520.0,2011-12-01T11:41:12Z,6.0,65.0,6.0,2014-03-13T20:08:09Z,7.0,28.0,28.0,True,289.0,48.0,1.0,258.0,1241.0,1689.0,1951,2.0,6.0,1.0
1.0,2.0,2015-01-06T16:32:34Z,7.0,,48.0,Java,verath/hotel-california,0.0,1.0,3.0,4.0,0.0,,0.0,4.0,done,243.0,58.0,82.0,0.0,1,7.0,1.0,2.0,b70c95796fedfdf8756e1f14bbc1628f9d29988e,,62.0,24.0,4.0,16480.0,380.0,2.0,develop,1.0,1.0,2015-01-06T16:25:24Z,291.0,2014-11-27T14:59:14Z,1.0,140.0,1.0,2015-01-29T09:52:22Z,4.0,82.0,1.0,True,20.0,97.0,1.0,2.0,196.0,377.0,829,2.0,7.0,0.0
2.0,2.0,2017-02-02T13:42:01Z,2.0,,152.0,Java,bioclipse/bioclipse.qsar,0.0,2.0,,2.0,0.0,,0.0,2.0,done,615.0,38.0,43.0,0.0,2,2.0,2.0,2.0,7bf39714fd52659216503e96b9bf769e67804ffb,,40.0,71.0,2.0,13422.0,813.0,2.0,master,2.0,1.0,2017-01-26T16:33:00Z,767.0,2010-08-10T09:46:33Z,2.0,81.0,2.0,2014-11-24T15:54:27Z,2.0,43.0,12.0,True,60.0,49.0,1.0,132.0,256.0,433.0,906,2.0,2.0,1.0
1.0,2.0,2012-01-30T18:42:20Z,1.0,,60.0,Java,eneufeld/EMF-ModelGenerator,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,done,96.0,7.0,7.0,0.0,1,1.0,1.0,1.0,f575311eba2cd7818b5dd13b56742792a04397de,,,7.0,1.0,388.0,164.0,1.0,master,,1.0,2012-01-30T18:42:10Z,156.0,2011-12-05T15:07:10Z,1.0,14.0,1.0,2013-10-24T02:34:21Z,1.0,7.0,4.0,True,12.0,10.0,1.0,12.0,60.0,100.0,693,2.0,1.0,1.0
1.0,1.0,2017-05-30T16:28:15Z,1.0,,33.0,Java,sinemgetir/state-elimination-mt,0.0,1.0,,1.0,0.0,,0.0,1.0,done,126.0,3.0,3.0,0.0,1,1.0,1.0,1.0,8748d42eef0079ef4a0133a1c6fff0c66ce06d77,,4.0,3.0,1.0,23542.0,163.0,1.0,master,,1.0,2017-05-30T16:28:14Z,159.0,2017-04-25T22:41:27Z,1.0,6.0,1.0,2017-05-17T07:02:42Z,1.0,3.0,2.0,True,37.0,6.0,1.0,6.0,31.0,84.0,2250,1.0,1.0,1.0
2.0,1.0,2012-05-08T11:29:15Z,2.0,,58.0,Java,spherio/FuzzyModelTesting,0.0,2.0,,2.0,0.0,,0.0,2.0,done,126.0,11.0,11.0,0.0,2,2.0,2.0,2.0,eb0428ca31b23f4939bc55ed745f46dfc48e4124,,13.0,20.0,2.0,580.0,198.0,2.0,master,,1.0,2012-05-08T11:28:45Z,184.0,2012-04-17T16:01:43Z,2.0,22.0,2.0,2013-09-28T18:16:29Z,2.0,11.0,5.0,True,28.0,17.0,1.0,24.0,75.0,147.0,658,1.0,2.0,0.0
1.0,1.0,2012-02-08T09:29:01Z,1.0,,12.0,Java,eclipsechaser/de.eclipsechaser.examples.gef3d,0.0,0.0,,1.0,0.0,,0.0,1.0,done,22.0,4.0,4.0,0.0,1,1.0,1.0,1.0,c575d7acfbeb06e7956ba5116bb7dbbf778a3c16,,5.0,4.0,1.0,104.0,39.0,1.0,master,,1.0,2012-02-08T09:27:29Z,34.0,2012-02-08T09:02:03Z,1.0,8.0,1.0,2014-01-01T15:51:54Z,1.0,4.0,1.0,True,5.0,7.0,1.0,2.0,14.0,35.0,640,1.0,1.0,1.0
1.0,1.0,2017-03-21T16:40:48Z,1.0,,20.0,Java,MDEGroup/MDECourse2017EMFDemo,0.0,1.0,,1.0,0.0,,0.0,1.0,done,57.0,7.0,7.0,0.0,1,1.0,1.0,1.0,bda9b400085449315ca6749bde5f790420824960,,8.0,2.0,1.0,45.0,85.0,1.0,master,,1.0,2017-03-21T16:40:09Z,77.0,2017-03-21T16:37:30Z,1.0,14.0,1.0,2017-06-20T13:43:59Z,1.0,7.0,2.0,True,8.0,10.0,1.0,6.0,20.0,52.0,703,1.0,1.0,0.0
2.0,1.0,2016-08-14T20:49:51Z,2.0,,63.0,Java,simonpetersen/MBSE-I,0.0,2.0,,2.0,0.0,,0.0,2.0,done,156.0,14.0,14.0,0.0,2,2.0,2.0,2.0,088b82fee8aa6b63c705650f3ac7a2c0f40fd5d9,,16.0,0.0,2.0,196.0,236.0,2.0,master,,1.0,2016-08-14T20:49:55Z,219.0,2016-06-10T08:31:58Z,2.0,28.0,2.0,2016-06-20T13:40:27Z,2.0,14.0,3.0,True,14.0,20.0,1.0,20.0,57.0,117.0,656,1.0,2.0,0.0
1.0,1.0,2014-04-21T22:59:17Z,15.0,,195.0,JavaScript,zwgirl/jswpf,0.0,1.0,11.0,4.0,0.0,,0.0,4.0,done,4250.0,21.0,217.0,0.0,1,15.0,1.0,3.0,c4e983c4746ce1261dd6b5ab619b677c44d75176,,23.0,19.0,4.0,11448.0,4677.0,2.0,master,4.0,1.0,2014-04-21T22:54:37Z,4445.0,2014-04-21T22:51:09Z,1.0,238.0,1.0,2017-06-07T08:20:05Z,4.0,217.0,7.0,True,55.0,239.0,1.0,3.0,1144.0,1479.0,4454,1.0,14.0,1.0
1.0,1.0,2017-12-30T19:29:37Z,5.0,,26.0,0,cocome-community-case-study/models,0.0,1.0,5.0,,0.0,,0.0,,done,129.0,,42.0,0.0,1,5.0,1.0,1.0,d73315871ed69ce4ba9707bae680add950a66921,,,0.0,,6556.0,202.0,1.0,master,,1.0,2017-12-30T19:29:32Z,155.0,2016-05-11T15:12:19Z,1.0,42.0,1.0,2017-02-20T17:59:25Z,,42.0,1.0,True,105.0,47.0,1.0,9.0,,157.0,1093,1.0,5.0,0.0
1.0,1.0,2011-11-10T20:39:45Z,2.0,,26.0,Java,pgillich/CannyCad,0.0,1.0,2.0,,0.0,,0.0,,done,32.0,,10.0,0.0,1,2.0,1.0,1.0,1c0c121b1f6b2d81e3f74c31f7c1e7b38bfd3c79,,,0.0,,6232.0,70.0,1.0,master,,1.0,2011-11-10T20:36:17Z,58.0,2011-10-30T23:44:04Z,1.0,10.0,1.0,2013-11-25T11:30:19Z,,10.0,2.0,True,9.0,12.0,1.0,9.0,9.0,37.0,906,1.0,2.0,0.0
1.0,1.0,2015-12-01T19:48:09Z,1.0,,48.0,Java,ridz1208/DemocDSL_ECSE539-Project,0.0,1.0,,1.0,0.0,,0.0,1.0,done,89.0,5.0,5.0,0.0,1,1.0,1.0,1.0,31f9daacfc9fdf79865cd0fab783b0c28261194e,,6.0,5.0,1.0,1253.0,143.0,1.0,master,,1.0,2015-12-01T19:47:50Z,137.0,2015-11-18T02:01:07Z,1.0,10.0,1.0,2015-12-01T23:14:37Z,1.0,5.0,3.0,True,12.0,8.0,1.0,11.0,40.0,74.0,844,1.0,1.0,0.0
2.0,1.0,2012-07-04T07:10:14Z,2.0,2.0,12.0,Java,daumproject/daum-model,0.0,2.0,,2.0,0.0,,0.0,1.0,done,160.0,33.0,66.0,0.0,2,2.0,2.0,2.0,81ce9edb5ab1828d8f13a839e9c26f5010648d54,,68.0,36.0,1.0,240.0,241.0,2.0,master,,1.0,2012-07-04T07:10:01Z,172.0,2012-07-03T12:47:00Z,2.0,99.0,2.0,2013-10-17T16:16:52Z,1.0,66.0,1.0,True,9.0,70.0,1.0,2.0,72.0,192.0,647,1.0,2.0,0.0
1.0,1.0,2011-06-01T20:22:08Z,1.0,,47.0,Java,markoalas/eclipse-hta,0.0,1.0,,1.0,0.0,,0.0,1.0,done,171.0,5.0,5.0,0.0,1,1.0,1.0,1.0,92aea30c301d767bfbfe2a152f99106c25ba867e,,6.0,7.0,1.0,29360.0,224.0,1.0,master,,1.0,2011-06-01T20:22:02Z,218.0,2011-03-24T17:32:37Z,1.0,10.0,1.0,2014-04-20T22:28:58Z,1.0,5.0,3.0,True,11.0,8.0,1.0,12.0,99.0,132.0,1109,1.0,1.0,0.0
